Index,Comment
1,"tiếng kêu cũng vừa, k phải là nhỏ. đun đầy bình cỡ 5p. lúc vừa mở nắm ra có tí mùi nhẹ, sau đó hết. dùng gần 2 tuần rồi thấy ổn cả nhe. nắp hơi khó mở, nhỡ mà gãy phần đó là nghỉ mở lun"
2,"Bình nước rất đẹp, nước sơn bóng, bên trong lòng nhôm dày. Sản phẩm có phiếu hành, xịn xò
Rất hài lòng."
3,"Bắp bao tử non em gom đơn ,MAI thứ 2 e trả đơn

Cả nhà có thể xào luột, hầm xương hoặc làm rượu bắp rất ngon nha. Râu bắp thì nấu nước uống mát rất tốt sức khỏe ạ.

Bắp này đặc biệt ăn sống rất ngọt nha.
Thay vì ăn rau mỗi ngày, cả nhà bổ sung bắp, đậu cho bữa ăn thay đổi vị và dinh dưỡng cho cả nhà mình nhé!
45k 2kí
65k3kí 
 Ship 5k1đ
Cả nhà lên đơn sớm nha "
4,"Sản phẩm gia công đẹp. Thiết kế mở nắp không tiện dụng lắm, phải giữ với 2 tay. Hy vọng bền bỉ. Giao hàng nhanh. Chúc năm mới Tiki trading làm ăn phát đạt!"
5,"Bình màu đen xinh xắn  mình chưa dùng thử nên chưa feedback chất lượng đc. Tiki giao nhanh, nhưng đóng gói không có thùng bên ngoài ... hơi phiêu ạ :))))"
6,"Thân bình chắc chắn, đun nhanh sôi nhưng mà nhìn nhựa trên nắp bình cứ cảm giác không được bền. Không biết sử dụng thời gian nữa thì thế nào."
7,"Nắp bình không được tiện lợi lắm. Bình này có khóa gài không nút nhấn, phải 1 tay cầm nắp, 1 tay cầm bình cho chắc để mở nắp. Hy vọng là cái khóa gài bằng nhựa này sẽ không bị hư nhanh."
8,"Về bình đun: Máy đẹp, khá chắc chắn. Đun ít ồn hơn một số loại bình khác từng dùng (Sunhouse) Mọi người nói khó mở chứ mình thấy nắp như vậy đỡ lỏng lẻo nguy hiểm, nắm chắc mở lên phát một là được. Lúc nhận thì có thấy mấy vệt nâu nâu ở đáy nhưng rửa cái là hết. Nói chung hài lòng.
Về giao hàng: Tiki giao đúng trong ngày như mình đặt."
9,"Đây là ấm siêu tốc thứ 2 mình mua, cùng seri này của LockLock.
Miệng ấm rộng, mở được 120 độ. Thân cách nhiệt, vừa đun xong sờ vào cũng không bị bỏng. Thân và nắp bên trong đều là inox, không có phần nào bằng nhựa nên đun sôi cũng vẫn rất yên tâm.
Hạn chế duy nhất là khi đun ấm kêu khá to."
10,"Đã mua cái thứ 2 cho người thân, cái của mình dùng 5 nam rồi vẫn ổn áp,  luôn đồng hành cùng tiki suốt những năm qua, phục vụ nhanh tốt, hàng chất lương khỏi sợ, hihiii"
11,"sản phẩm rất đẹp và nhỏ gọn, giao hàng nhanh, đun nước khá nhanh và không ồn, bền không thì phải xài 1 thời gian mới biết"
12,"Mọi chức năng hoàn hảo đẹp, độ bền chưa biết sao"
13,"Đun sôi nhanh
 Mới nhận đưoc hàng đem đi  liền
Nắp phải mở ko có nút bấm mở nấp hơi bất tiện
Sd thêm thời gian nữa để đánh giá độ bền"
14,"Sp như quảng cáo, giao hàng nhanh, đóng hộp kỹ...nhưng m săn ở đợt sale đc tặng thêm 1 bình nước mà ko thấy giao cùng, mong bên tiki hỗ trợ dùm"
15,"Bình siêu tốc màu đen rất đẹp tuy nhiên chất liệu nhựa ở tay cầm, nút bấm và nắp bình còn hạn chế. Và nắp bình phải mở bằng tay chứ k có nút bấm để tự động mở đâu nhé. Bên ruột bình chỉ đề 1 mức vạch max là 1.7l chứ không chia nhỏ hơn nữa. Đc cái ruột nhẹ và gọn nên vệ sinh sẽ dễ. Sp đun sôi nhanh trong khoảng 6p. Ncl ở tầm giá với thiết kế ntn là tốt. Còn nếu muốn độ hoàn thiện cao và thêm nút bấm mở nắp thì ở mức giá cao hơn rồi. À và sp đề max 1.7l thì mn để thấp hơn chừng đó thôi nhé. Mỗi lần đun để cách tgian 3-5p cho nó đỡ nhiệt và bền."
16,"Sản phẩm chất lượng tốt, mẫu mã đẹp và màu sắc sang trọng. Thiết kế nắp bình khá thông minh, có thể đóngmở từ từ, an toàn khi sử dụng. Sản phẩm chính hãng có phiếu bảo hành rõ ràng nên rất ưng ý."
17,sang xịn mịn. chất lượng khỏi chê. mình mua cái t2 rồi. cái đầu tiên màu đỏ. cái này màu đen. đc tặng bình nước và rẻ hơn nữa. good.
18,"Mới đun 1 lần thấy ngon lành cành đào
Mua 350k ko biết hơi không tại chưa xài qua bao giờ
Màu đen bóng xuất sắc, inox liền trong
Chỉ 1 cái ko thích là nắp mở ko tiện lắm"
19,"bình gọn nhẹ, gói hàng cẩn thận
lòng bình rộng dễ dàng sử dụng và vệ sinh. Nấu khoảng 6 phút là nhẩy nút, 
tiếng nước sôi hơi lớn.
Trên thành bình có vết trầy nhưng không đáng kể."
20,"hàng đẹp hơn trên hình nữa, đóng gói gọn gàng, giao siêu nhanh."
21,"Mua hàng chính hãng nên cũng khá yên tâm. Mình chưa sử dụng nhiều nên cũng không biết độ bền các kiểu như thế nào. Lúc mới dùng thì hơi có mùi nhựa. Nấu nước sôi khá nhanh, chỉ tầm khoảng 5 phút."
22,"Ấm đun nhanh, 5' đã sôi nước, ngoại quan sản phẩm đẹp, chắc chắn, màu đen làm cho góc bếp nhìn sang hơn hẳn, lại còn vợt được lúc đang sale giảm giá quá hời luôn. Nhưng mà nút mở nắp hơi khó mở, lúc đầu mua về ngồi loay hoay mất 30' mới biết cách mở, tìm trong tờ hướng dẫn mà không có cách mở nên tự tìm cách, may quá cũng ra, hihi."
23,"Rất tuyệt vời! Hàng tốt nên mua mọi người nha!
Mình là khách hàng ruột luôn ủng hộ tiki vì chất lượng sản phẩm, uy tín trong bảo hành, luôn rẻ nhất, chất lượng nhất!"
24,Giao hàng siêu nhanh. Ấm đun tốt. Quà tặng xài cũng rất okie. Đáng tiền nhé. Giá rẻ hơn bên  và Lz do áp được voucher
25,"giao siêu tốc, mới đặt hàng tối quamnà sáng nay đã nhận, bình đẹp, nhìn chắc chắn, locknlock nên an tâm về chất lượng."
26,"Sản phẩm tốt, vừa mở hộp ra là thích rồi, màu đen nên nhìn sang hẳn. Dùng hơn 2 tháng vô phản hồi lại, chất lượng chuẩn, k bik sau này có hư hỏng nhanh ko nhưng mà hiện tại thì rất ok"
27,"Bình của LockLock thì chất lượng khỏi bàn. Nước rất nhanh sôi, tiếng cũng không bị to quá. Bình đun được thiết kế rất sang và còn thuận tiện cho việc cọ rửa nữa. Giao hàng nhanh, 5 sao nhé."
28,"bình tốt. ruột inox dập, không phải gép giữa đáy và thành. inox dầy vừa phải. đun nhanh sôi. vỏ nhựa bên ngoài nên giữ dc nhiệt lâu lâu chút. lại an toàn, k sợ bỏng khi đụng vô vỏ lúc nước sôi"
29,"Ấm được bọc cẩn thận, không có lỗi gì. Giao hàng nhanh. Ấm đun siêu tốc đúng như tên gọi: 5 là nước sôi. Thân ấm dày dặn cầm rất chắc tay. Tuy nhiên dây có hơi ngắn xíu. Dày thêm 10cm là thoải mái. Đáng giá để tin dùng!"
30,"nhìn thì chất lượng đấy, nhưng chưa thử, hôm nào thử ok, sẽ đánh giá lại"
31,Bình xài ok có điều nắp bình hơi khó mở
32,"bình nấu êm, nắp khó mở thật, nhưng mà rót nước ra ly bình khác sau khi nước sôi rồi mở bình thì sẽ an toàn hơn. Không cách nhiệt, sờ vào nóng nhưng k bỏng tay. Chất liệu này dễ bám bụi bên ngoài bình, nên lau thường xuyên để bình đẹp và sang nè"
33,"Hàng nhìn ổn.
Chất lượng thì phải để trãi nghiệm. 
Đóng gói tiêu chuẩn. 
Giao trễ 2 ngày, chắc do dịch!
Vẫn vote 5 để ủng hộ."
34,"Hàng chất lượng nhưng ngoại quan xấu, bị móp hộp lúc giao hàng"
35,"Hàng đúng như đăng tải. Giao hàng nhanh. Dunhf thử thấy tiện, nhanh, an toàn."
36,Đun sôi nước nhanh. Giá hợp lý. Có điều cái nắp đóng phải khéo chứ kêu hơi to.
37,hàng đẹp xài r OK nấu mau xôi chỉ mất có 5 phút là xong shop gói hàng cẩn thận cảm ơn tiki sẽ ủng hộ lẫn sau
38,"giao nhanh như 1 cơn gió nhờ tiki now,  hàng lock and lock thì khỏi phải bàn cãi chất lượng nhé.  cứng cáp,  đáng tiền để mua lắm ạ, mình mua liền dùm cho đồng nghiệp nữa luôn"
39,"Mình đã mua 1 chiếc, dùng ưng quá nên mua thêm chiếc thứ 2 trong vòng 1 tuần. Chất liệu vỏ đẹp, bóng. Ấm rất chắc chắn, lòng lộng, ko bị mùi tẹo nào. Hi vọng đồ dùng lâu bền. Cảm ơn Tiki"
40,"bình nc nhận đc okie. 
tuy nhiên mình chọn giao nhanh 2H. Tiki phải 2 ngày sau mới giao hàng. 
biết là đang dịch. Nhưng mình phải trả thêm phí ship vì nghĩ đc giao nhanh. Đáng nhẽ Tiki ko nên đưa Phương thức giao nhanh 2H để rồi thu thêm tiền của khách"
41,Bình đun siêu tốc đẹp chất lượng đun mau sôi ko trào nước ra ngoài ai cg khen đẹp chất mn nên mua xài đi cho shop 5 sao nếu có cho shop 10 luôn
42,"sản phẩm như hình, đúng mô tả của shop. đóng gói cẩn thận giao hàng nhanh. sẽ ủng hộ cảm ơn shop"
43,"Sản phẩm đúng mô tả, chắc chắn, cứng cáp, đun sôi nhanh, cầm rất chắc tay"
44,Bình đun rất êm. Kiểu dáng đẹp. Nắp mở bật lên bằng cơ rất chặt. Không biết sử dụng lâu ngày có bị lỏng không. Nhưng với thương hiệu LL hi vọng sẽ bền
45,"Nấu rất nhanh, hàng giao xịn xò nguyên seal, nhân viên giao hàng tận tay cho kiểm tra sản phẩm luôn 10 điểm "
46,xịn sò  rất sang rất đẹp và ko ồn nhé anh chị em
47,Tôi đã đặt hàng vào ngày 13.11  nhưng không nhận được quà tặng bình nước. tiKi kiểm tra giúp mình nha
48,"Chỉ là nắp hơi cứng, nhìn chung là bình rất sang, hi vọng brand lớn sẽ tỉ lệ thuận với chất lượng nha. Với cả mua ngoài store tận 700k, lên tiki sale còn 350k giá quá hời nhỉ hihi"
49,"Ưng lắm nha, giá lại ổn áp
Dùng hàng LL đúng khác hẳn cái ấm của SH :))"
50,"Tikinow giao hàng siêu tốc, đặt chiều hôm trước mà sáng hôm sau đã nhận hàng, quá nhanh"
51,"Bình đẹp, ổn, đun nhanh sôi, và tiện lợi là sôi sẽ tự tắt, rất tiện với gia đình có con nhỏ hay người già."
52,"Sản phẩm tốt, rất ưng tặng 5 sao luôn"
53,Hàng như ảnh..
54,"Sản phẩm đẹp như hình, do ảnh hưởng của dịch nên giao hàng hơi lâu :)"
55,"Hàng đẹp, giao đúng 2212 nhưng không thấy quà tặng cái ly như quãng cáo"
56,"Tốt, xài bền, rất nên mua"
57,Bình miệng rộng dễ vệ sinh. Trông chắc chắn. Nắp dù không bật tự động nhưng dễ mở. Đang dùng và thấy chất lượng tốt.
58,"sản phẩm màu rất đẹp, hàng ik như hình, rất đáng tiền, tôi sẽ tiếp tục ủng hộ cho bạn trong thời gian sắp tới nhé. Chúc shop của bạn phát triển tốt."
59,"TikiNow thần thánh, giao nhanh đến hết hồn. Đóng gói cẩn thận. Cám ơn ạ"
60,sản phẩm được đóng gói cẩn thận tới 2 lớp thùng. giao hàng siêu nhanh. tối hwa đặt sáng nay đã giao. thấy ghi hẹn giao thứ 2 nà nay cũng nhận được luôn.
61,"Giao hàng siêu nhanh đóng gói cẩn thận, xài thử thấy ok không có mùi đun nước nhanh hơn bình cũ của mình."
62,"Giao hàng nhanh, đóng gói cẩn thận, hàng còn nguyên vẹn. Mình đem thử thì ấm nấu tốt bình thường không trục trặc gì."
63,Hàng LockLovk thì quá xịn chất lượng thì khỏi bàn ạ
64,Ấm tốt và đun sôi nhanh. Giao hàng lần đầu bị vỡ nhưng chính sách đổi trả rất cẩn thận. Vote 5 sao ạ
65,"Giao hang nhanh dong goi can than, dun soi nhanh."
66,Dhhhvv djdjd shshs shshsbshusuw
67,"Bình đẹp, đúng mẫu"
68,"Đóng gói cẩn thận, hàng mới, chưa sử dụng nên chưa biết chất lượng nhưng hàng chính hãng thì chắc OK rồi"
69,Tôi rất hài lòng về sản phẩm và sẽ lựa chọn shop cho các lần mua hàng tiếp theo sau. Cảm ơn shop.
70,đẹp  tốt  ben
71,"Đã nhận sản phẩm của shop và sử dụng một thời gian vẫn ổn định, mình đẹp chắc chắn"
72,"Đã nhận được hàng. Nhanh và đóng gói cẩn thận, hàng như hình, sẽ ủng hộ shop"
73,"Hàng chính hãng, mẫu mã như mô tả, có phiếu bh và hướng dẫn sử dụng nhưng không thấy hàng khuyến mãi đính kèm."
74,Đã nhận được hàng rồi nha shop ơi. Shop giao hàng nhanh chóng và đóng gói sản phẩm kỹ. Lần sau có nhu cầu sẽ ủng hộ shop tiếp nhé
75,"Bình đun rất tốt, có lớp cách nhiệt nên sờ vào không nóng. Nói chung, sản phẩm tốt, điểm trừ là hình như không có nút ấn bật nắp, phải mở bằng tay, sợ lâu dài sẽ hỏng phần này."
76,"Nấu nước nhanh, hoàn thiện chắc chắn, rất hài lòng, chất lượng rất tốt"
77,Bền đẹp đun siêu nhanh
78,"Chất liệu bền, mẫu mã đẹp, sôi nhanh"
79,"bình đun thích lắm nha, nhưng lúc đổ nước sôi ra mọi người nhớ để ý chỗ bình xả hơi nước ra nha, khá nóng, bình xịn xò nhìn sang lắm nha, xài thích"
80,"giao hàng nhanh bất ngờ, ấm đẹp, đun nước ok.."
81,Sài tốt lắm sử dụng hơn 2 tháng quay lại đánh giá đấy
82,"Chất liệu bền, Đun sôi nhanh, Nhỏ gọn"
83,"Chất liệu tốt, tuy nhiên nắp mở tay, ko có nút bấm"
84,Hàng của locklock thì khỏi chê rồi ? Mua sale nên quá. Ok nha mn ! Đồ bền thì phải đợi sd  tg kiểm chứng
85,Sản phẩm chất lượng
86,"Tiki giao siêu nhanh , tối hôm qua đặt thì trưa hôm sau đã có r 
hàng đc đóng gói kỹ."
87,"Đóng gói sản phẩm khi chuyển hàng, không được tốt: bao bì bị bóp méo. Cũng may, sản phẩm còn nguyện vẹn, đẹp và hoạt động tốt. Xin cám ơn."
88,Hàng giao nhanh chóng. Đặt sáng giao sáng hôm sau. Đóng gói cẩn thận. Có màng bọc bao giúp giảm va đập.
89,Sản phẩm ok
90,"Giao hàng đúng hẹn, đóng gói sản phẩm cẩn thận, mình rất vừa ý với sản phẩm này."
91,"k ồn như loại khác, nhanh sôi. inox trong sáng bóng. nắp hơi chặt xíu. chưa chụp đc ảnh em úp tạm ảnh nhà"
92,"Chất liệu bền, Đun sôi nhanh, mẫu mã đẹp, Nhỏ gọn"
93,"Giao hàng nhanh, chất lượng ổn"
94,"Giao hàng trong lúc SG giãn cách nên hơi lâu, nhưng vẫn trước cam kết giao trong 20 ngày. Đóng gói cẩn thận. Chất lượng sản phẩm đã sử dụng trong 3 tuần rất ổn."
